"ENTREPRISES";"PROJETS";"THEMATIQUE";"PAGE";"VAGUE";"URL_FICH_ORIGINE";"REALISATION_DEBUT";"REALISATION_FIN";"MONTANT";"AIDE";"DEPT"
"ROSI";"REDESIGN";"ECONOMIE CIRCULAIRE";28;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2022";772093;347422;"38"
"SAVE INNOVATIONS";"S-PG";"AGRICULTURE, INDUSTRIE ET SYLVICULTURE ÉCO-EFFICIENTES";17;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";778117;342233;"38"
"SITIA";"EVAgri";"AGRICULTURE, INDUSTRIE ET SYLVICULTURE ÉCO-EFFICIENTES";18;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";2730360;934970;"44"
"Skopai";"EINAI";"NUMÉRIQUE";48;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";751400;338130;"38"
"Smart Cast";"DTR";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";10;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";673665;303145;"44"
"SMOME";"SMOME BPA";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";11;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";753400;285930;"69"
"Spideo";"SPIDEO CREATIVE SaaS";"NUMÉRIQUE";49;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2019";795120;357804;"75"
"Technologies de France";"OSIRX GF";"ECONOMIE CIRCULAIRE";29;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";693705;312168;"13"
"Tempow – Tap Sound System";"TWE";"NUMÉRIQUE";50;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2019";792659;356696;"75"
"ThrustMe";"TREND";"ESPACE";67;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";756583;340462;"91"
"Tinyclues";"Auto-Drive";"NUMÉRIQUE";51;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";3196989;1118946;"75"
"Toucan Toco";"Plateforme Toucan";"NUMÉRIQUE";52;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";2846400;1280880;"75"
"TRYON";"Modul’O+";"ECONOMIE CIRCULAIRE";30;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";797083;333081;"75"
"Unis C";"PROJET IO";"SOCIÉTÉ INCLUSIVE ET SOLIDAIRE";72;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";791919;356363;"59"
"UNSEENLABS";"UNSEENLABS";"ESPACE";68;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";1637353;736808;"35"
"URBAN ECO SCOP";"URBAN’COMPOST";"ECONOMIE CIRCULAIRE";31;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2022";779945;345633;"94"
"UV BOOSTING";"UV BOOSTING";"AGRICULTURE, INDUSTRIE ET SYLVICULTURE ÉCO-EFFICIENTES";19;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";3113093;1400892;"92"
"VITIBOT";"BKE";"AGRICULTURE, INDUSTRIE ET SYLVICULTURE ÉCO-EFFICIENTES";20;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";3836504;1414414;"51"
"Wheeliz";"Wheeliz";"SOCIÉTÉ INCLUSIVE ET SOLIDAIRE";73;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";745883;335647;"75"
"AIVE";"AIVE R&D";"NUMÉRIQUE DEEPTECH";45;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2020";2361792;1062806;"34"
"AKRYVIA";"PICUP";"FRENCH FAB";38;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2021";1948549;876847;"44"
"ALTAROAD";"Intrack";"TRANSPORT ET MOBILITÉ DURABLE";26;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";977943;440074;"94"
"ANANKE";"ECOGEN_ANANKE";"EFFICACITÉ EN ÉNERGIE ET EN RESSOURCES";13;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2020";691800;301410;"90"
"antidot";"Smart FT";"NUMÉRIQUE DEEP TECH";46;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2022";2575068;1158780;"13"
"ATEME";"AI4SEC";"NUMÉRIQUE DEEP TECH";47;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";2025856;709049;"78"
"ACWA Robotics";"ACWA";"EAU ET BIODIVERSITÉ";7;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";687354;309504;"2A"
"BIROTA";"ZOTR";"TRANSPORT ET MOBILITÉ DURABLE";27;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2020";989325;333663;"92"
"bMotion Technologies";"MILA Learn";"NUMÉRIQUE DEEP TECH";48;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";981315;441592;"91"
"BuyCo";"AUTO SHIPPING";"TRANSPORT ET MOBILITÉ DURABLE";28;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2020";979904;440957;"13"
"CT2MC";"CAN'EAU";"EAU ET BIODIVERSITÉ";8;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";885525;398486;"73"
"CityTaps";"IoW";"EAU ET BIODIVERSITÉ";9;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";749201;337140;"92"
"CWS MOREL";"POG";"TRANSPORT ET MOBILITÉ DURABLE";29;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2021";1800000;792660;"94"
"D-ICE Engineering";"OCEANICS";"TRANSPORT ET MOBILITÉ DURABLE";30;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";945912;414168;"44"
"DASHDOC";"RODATRANS";"TRANSPORT ET MOBILITÉ DURABLE";31;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2020";978502;440325;"94"
"DCbrain SAS";"MarvinZero";"FRENCH FAB";39;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";858329;386248;"92"
"Deep Algo";"C-3PO";"NUMÉRIQUE DEEP TECH";50;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2031";932307;326307;"75"
"DigiMobee";"mobeeFLEET";"TRANSPORT ET MOBILITÉ DURABLE";32;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";875840;394128;"75"
"DIOTASOFT S.A.S.";"ASSMA";"FRENCH FAB";40;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";784896;274713;"91"
"E-COBOT";"HULKY";"FRENCH FAB";41;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";991905;446357;"44"
"ENWIRES";"XSTREAM";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";19;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2021";1700000;744637;"38"
"EOLINK SAS";"EFFICACE";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";20;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2020";985680;443556;"29"
"Foodvisor";"AQUA";"NUMÉRIQUE DEEP TECH";51;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";769990;346495;"75"
"GEOLITH";"Li-Capt 2";"EFFICACITÉ EN ÉNERGIE ET EN RESSOURCES";14;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";994940;447723;"91"
"Glose SAS";"IA au service de la lecture";"NUMÉRIQUE DEEP TECH";52;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";1958700;881415;"92"
"Green Communications";"B4V";"TRANSPORT ET MOBILITÉ DURABLE";33;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2021";816240;344493;"92"
"GREEN SHIELD";"GREENSHIELD";"AGRICULTURE INNOVANTE";68;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";767000;345000;NA
"Hackuity";"Augmented Pentests";"SÉCURITÉ ET CYBERSÉCURITÉ";65;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";935904;421156;"69"
"Heyday Integrated Circuits";"Heyday Lily";"EFFICACITÉ EN ÉNERGIE ET EN RESSOURCES";15;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";928100;417645;"06"
"imajing";"INITIA";"NUMÉRIQUE DEEP TECH";53;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";768525;345836;"31"
"Inalve";"DEMETRA";"EFFICACITÉ EN ÉNERGIE ET EN RESSOURCES";16;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";2100000;951834;"06"
"Kleros";"Themis";"NUMÉRIQUE DEEP TECH";49;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";1595594;718017;"75"
"LODIAG";"HydroScreen";"EAU ET BIODIVERSITÉ";11;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2022";1700000;778656;"68"
"MaaT Pharma";"FORM";"SANTÉ - BIOPRODUCTION";58;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2020";954272;429422;"69"
"MAbSilico SAS";"MABSI CI V3";"SANTÉ BIOPRODUCTION";59;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";2293794;103227;"37"
"METRON";"EVA 4.0";"EFFICACITÉ EN ÉNERGIE ET EN RESSOURCES";17;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2022";4300000;895918;"75"
"Mipsology";"ZEBRA-2019c";"NUMÉRIQUE DEEP TECH";54;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";3751776;1688299;"91"
"NOVITOM";"3D-NEXCT";"NUMÉRIQUE DEEP TECH";55;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";773385;348023;"38"
"PAT";"HERBISCAN";"AGRICULTURE INNOVANTE";70;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2022";1500000;661000;NA
"PATHOQUEST";"METAGENOMIXX";"SANTÉ - BIOPRODUCTION";60;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";948552;426848;"75"
"SABI AGRI";"META";"AGRICULTURE INNOVANTE";71;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";753000;338000;NA
"SAS Pikcio Services";"PikcioLab";"NUMÉRIQUE DEEP TECH";56;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2020";760511;342229;"34"
"Sereema SA";"Windfit 03";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";21;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";643570;289606;"34"
"Seva Technologies";"ARGESTE";"TRANSPORT ET MOBILITÉ DURABLE";34;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2020";999912;449646;"75"
"SKIPPER NDT";"2SMI";"FRENCH FAB";42;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";832793;374756;"75"
"Smart Immune";"SmarTCellAUTOMATED";"SANTÉ BIOPRODUCTION";61;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2022";4188139;1884662;"75"
"SolarCloth System";"EARN";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";22;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";836793;254243;"06"
"SPIREC";"RETIS";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";23;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";997020;435159;"78"
"SQUADRONE SYSTEM";"DIVA";"TRANSPORT ET MOBILITÉ DURABLE";35;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";841160;378522;"38"
"Stem Genomics";"DigiCell";"SANTÉ - BIOPRODUCTION";62;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2021";940292;423131;"34"
"SWEETCH Energy";"SARBACANNE";"ÉNERGIES RENOUVELABLES, STOCKAGE ET SYSTÈMES ÉNERGÉTIQUES";24;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2020";"2023";4,4e+12;1900000;"35"
"TREEFROG THERAPEUTICS";"TFT SU";"SANTÉ - BIOPRODUCTION";63;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";998953;449528;"33"
"UTTI";"CORAIL";"FRENCH FAB";43;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";522079;182727;"59"
"VATES";"XCP-ng Shield";"SÉCURITÉ CYBERSÉCURITÉ";66;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2022";2706900;1218105;"38"
"VEL'CO";"MOVE 2021";"TRANSPORT ET MOBILITÉ DURABLE";36;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";977506;434591;"44"
"WATCHFROG";"PACQUE";"EAU ET BIODIVERSITÉ";10;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";711768;320295;"91"
"ZOO TECHNIC Group Elastoteck";"ZooTechnic";"AGRICULTURE INNOVANTE";69;3;"../Data/vague_1_6/i-nov-palmar-s-vague-3-19081.pdf";"2019";"2021";713000;249000;NA
"365Talents";"TAMARIN";"NUMÉRIQUE DEEP TECH";48;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2021";1429059;643076;"69"
"Absolut System SAS";"CRYASSY";"ESPACE";39;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";979592;440816;"38"
"ADAGOS";"GoS";"NUMÉRIQUE DEEP TECH";49;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";864859;389186;"31"
"Agilcare CONSTRUCTION";"I-Dem";"TRANSITION ÉCOLOGIQUE APPLICATIONS JOP PARIS 2024";36;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";632876;284794;"94"
"AKTID";"ABI.Expert";"ÉCONOMIE CIRCULAIRE";11;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";998826;442367;"73"
"ANTOFENOL SAS";"ANTOXY";"ALIMENTATION INTELLIGENTE";75;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2023";661000;298000;NA
"AXIOMA";"FORTI'VIGNE";"ADAPTATION AU CHANGEMENT CLIMATIQUE";7;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2023";1100000;502902;"19"
"BIOSENCY";"APEX";"NUMÉRIQUE DEEP TECH";50;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2023";1767835;795525;"35"
"Bulane";"BULANE LP2H";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";22;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";995600;448020;"34"
"CampoSPHERE";"CampoSPHERE";"ÉCONOMIE CIRCULAIRE";12;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";6e+05;270000;"92"
"Cap Collectif";"CIVIC-IA";"NUMÉRIQUE DEEP TECH";51;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";893497;402073;"75"
"CeSigma SIGNALS & SYSTEMS";"C4WILD";"ADAPTATION AU CHANGEMENT CLIMATIQUE";8;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";669400;301230;"83"
"COLLIN";"ROBOTOL 2";"SANTÉ – CHIRURGIE DU FUTUR";65;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2022";771856;347335;"92"
"COMERSO";"So IE!";"ÉCONOMIE CIRCULAIRE";13;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2023";982800;400680;"49"
"CONSTRUCTIONS COMPOSITES BOIS LIGNOROC";"LIGNOROC V2";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";24;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2022";793060;259587;"38"
"DAVI";"JO'Han";"NUMÉRIQUE DEEP TECH – APPLICATIONS JOP PARIS 2024";61;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";887280;NA;"91"
"DeepOR S.A.S";"NEXT-Blue";"SANTÉ – CHIRURGIE DU FUTUR";66;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";997610;448924;"75"
"Earthcube";"DDFake";"NUMÉRIQUE DEEP TECH";52;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";987840;444528;"75"
"ENOSIS";"BIMOTEP";"ÉCONOMIE CIRCULAIRE";14;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";923842;415729;"31"
"ESTHESIX";"PND-XP";"NUMÉRIQUE DEEP TECH – APPLICATIONS JOP PARIS 2024";63;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";994000;NA;"75"
"GECKO BIOMEDICAL SA";"IDEAS TISSIUM";"SANTÉ – CHIRURGIE DU FUTUR";67;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2022";4948111;2226649;"75"
"GEOCORAIL SAS";"BLIREM";"ADAPTATION AU CHANGEMENT CLIMATIQUE";9;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";895867;403140;"13"
"GEOTWIN";"JO_FlowRegulation";"NUMÉRIQUE DEEP TECH – APPLICATIONS JOP PARIS 2024";62;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2020";677005;304652;"75"
"GREEN SPOT TECHNOLOGIE";"GreenSpot";"ALIMENTATION INTELLIGENTE";76;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2021";8e+05;4e+05;NA
"GreenBig";"B-BOT";"ÉCONOMIE CIRCULAIRE";15;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";1300000;506700;"76"
"HESUS";"HESUS TRANSPORT";"TRANSITION ÉCOLOGIQUE APPLICATIONS JOP PARIS 2024";35;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2021";878580;395361;"94"
"Homeys";"ODADRE";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";23;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";921625;414732;"75"
"HYPNO VR";"HYPNOVR Pro";"SANTÉ – CHIRURGIE DU FUTUR";68;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";905556;407500;"67"
"kheoos";"AVISER";"ÉCONOMIE CIRCULAIRE";16;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";668000;300600;"38"
"Klaxit";"CAAS";"VILLE EN TRANSITION";29;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2021";990435;445696;"75"
"LA COMPAGNIE DES MOBILITÉS Geovelo";"GEO SMART CITY PLUS";"VILLE EN TRANSITION";30;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";812420;365580;"37"
"LATTICE MEDICAL";"3D BIOFARM";"SANTÉ – CHIRURGIE DU FUTUR";69;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";1799005;809552;"59"
"Lili.ai";"LILI KG";"NUMÉRIQUE DEEP TECH";53;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2020";948684;426907;"75"
"LMP SAS";"Goodwill";"NUMÉRIQUE DEEP TECH";54;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2020";1490857;670885;"75"
"M4D TREEGRAM";"TREEGRAM";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";25;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";1900000;797676;"69"
"MASTOR";"MastOR Cobot";"SANTÉ – CHIRURGIE DU FUTUR";70;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";4341832;1953824;"75"
"Materr'UP";"I-NOVATERRE";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";26;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";994724;411156;"40"
"MicrodB";"DBFLASH";"VILLE EN TRANSITION";31;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2023";639900;257580;"69"
"NATURAL GRASS";"AQUAFLOW";"TRANSITION ÉCOLOGIQUE APPLICATIONS JOP PARIS 2024";33;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";993700;447165;"91"
"Néolithe";"FOSSILISATEUR";"ÉCONOMIE CIRCULAIRE";17;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2020";872935;374934;"49"
"OXXIUS SA";"laMI";"FRENCH FAB – MATÉRIAUX INNOVANTS";44;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";973940;438273;"22"
"Pellenc ST";"PICQ";"ÉCONOMIE CIRCULAIRE";18;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2022";2900000;1e+06;"84"
"PIXEE MEDICAL";"AUREO";"SANTÉ – CHIRURGIE DU FUTUR";71;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2022";2825666;1271549;"25"
"PIXSTART";"Woodwatch byPixstart";"ESPACE";40;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";687690;309460;"31"
"Poly to Poly";"POLY TO POLY";"ÉCONOMIE CIRCULAIRE";19;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2022";824911;371210;"45"
"QC WARE FRANCE SAS";"QML";"NUMÉRIQUE DEEP TECH";55;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";997000;NA;"75"
"SANCARE";"S.P.E.C.";"NUMÉRIQUE DEEP TECH";56;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";952166;428474;"75"
"SARL DRACULA Technologies";"LAYER 2.0";"FRENCH FAB – MATÉRIAUX INNOVANTS";45;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2022";862843;388279;"26"
"SAS Consilium";"NeuroChain";"NUMÉRIQUE DEEP TECH";57;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";NA;605858;272636;"75"
"Separative";"i-Purification";"FRENCH FAB - MATÉRIAUX INNOVANTS";46;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2021";894270;402421;"69"
"SIM&CURE";"SENUTREN";"SANTÉ - CHIRURGIE DU FUTUR";72;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2023";1152899;518804;"34"
"SODITECH";"L.A.S.E.R";"ESPACE";41;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";981473;441662;"06"
"SolZero";"BOUCLONS !";"TRANSITION ÉCOLOGIQUE APPLICATIONS JOP PARIS 2024";34;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2021";959769;431896;"75"
"SYRLINKS";"SynchroCube";"ESPACE";42;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2023";2843749;995312;"35"
"Techniwood";"MANTOBLOC";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";27;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";726219;254177;"74"
"United Visual Researchers";"SPAM";"NUMÉRIQUE DEEP TECH";58;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";602228;271002;"75"
"VALAME";"VALAME";"ÉCONOMIE CIRCULAIRE";20;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2020";"2021";1600000;637401;"59"
"VIRTUALISURG";"SURGXPERT";"SANTÉ - CHIRURGIE DU FUTUR";73;4;"../Data/vague_1_6/i-nov-palmar-s-vague-4-19078.pdf";"2019";"2020";631137;284011;"92"
